영화제목,유통회사명,개봉년도,개봉월,총스크린수,관람객수,장르,등급,네이버_평점,씨네21_평점,평균평점,계절,장르2,등급_le,관람객수_le,계절_le,관객수_등급
간이역,(주)드림팩트엔터테인먼트,2021,2,48.0,852.0,드라마,12세이상관람가,7.4,3.5,5.45,4,2,0,771,3,3
블라인드,주식회사 컨텐츠썬,2021,1,239.0,843.0,드라마,15세이상관람가,9.35,5.67,7.51,4,2,1,765,3,3
큰엄마의 미친봉고,(주)백그림,2021,1,67.0,830.0,코미디,12세이상관람가,6.04,6.0,6.02,4,6,0,756,3,3
더 시크릿,"TCO(주)더콘텐츠온,(주)스튜디오디에이치엘",2021,1,72.0,755.0,스릴러,15세이상관람가,6.67,6.55,6.609999999999999,4,7,1,702,3,3
관계의 가나다에 있는 우리는,(주)시네마달,2021,1,39.0,723.0,드라마,전체관람가,8.38,5.5,6.94,4,2,2,676,3,3
조제,워너브러더스 코리아(주),2020,12,1179.0,709.0,멜로/로맨스,15세이상관람가,8.2,5.6,6.9,4,3,1,663,3,3
아홉수 로맨스,(주)스튜디오 보난자,2021,2,24.0,608.0,멜로/로맨스,12세이상관람가,9.8,4.5,7.15,4,3,0,580,3,3
내겐 너무 어려운 연애,"(주)디오시네마,(주)태양미디어그룹",2021,2,32.0,602.0,코미디,12세이상관람가,7.39,6.0,6.695,4,6,0,577,3,3
런,(주)올스타엔터테인먼트,2020,11,799.0,568.0,미스터리,15세이상관람가,8.53,6.5,7.515,3,9,1,551,2,3
미드나잇 버스,(주)라이크콘텐츠,2021,2,26.0,559.0,드라마,12세이상관람가,8.42,6.0,7.21,4,2,0,545,3,3
테넷,워너브러더스 코리아(주),2020,8,2228.0,502.0,액션,12세이상관람가,8.73,7.25,7.99,2,1,0,501,1,3
제이티 르로이,(주)영화사 빅,2021,1,93.0,421.0,드라마,15세이상관람가,8.17,5.67,6.92,4,2,1,426,3,3
라스칼라 갈라 콘서트: 별들을 다시 보려고,일미디어,2021,2,10.0,366.0,공연,전체관람가,9.8,6.211666666666666,8.005833333333333,4,14,2,372,3,2
타오르는 여인의 초상,"그린나래미디어(주),(주)홈초이스",2020,1,120.0,365.0,드라마,15세이상관람가,9.15,9.5,9.325,4,2,1,371,3,2
원더 우먼 1984,워너브러더스 코리아(주),2020,12,2260.0,349.0,액션,12세이상관람가,7.54,5.5,6.52,4,1,0,355,3,2
극장판 기븐,(주)애니플러스,2020,11,103.0,342.0,애니메이션,15세이상관람가,7.845806451612903,5.0,6.422903225806452,3,0,1,349,2,2
바바 야가: 숲의 악령,주식회사 풍경소리,2021,2,5.0,300.0,공포(호러),15세이상관람가,6.5,5.543333333333333,6.0216666666666665,4,5,1,308,3,2
이웃사촌,"(주)리틀빅픽쳐스,(주)트리니티픽쳐스",2020,11,1363.0,277.0,드라마,12세이상관람가,8.31,5.0,6.655,3,2,0,285,2,2
파힘,(주)디스테이션,2021,1,165.0,275.0,드라마,전체관람가,8.16,5.33,6.745,4,2,2,283,3,2
BBC프롬스: 아르헤리치와 바렌보임 콘서트,(주)케빈앤컴퍼니,2021,2,13.0,252.0,공연,전체관람가,6.306428571428572,6.211666666666666,6.259047619047619,4,14,2,262,3,2
데스 숏컷,(주)박수엔터테인먼트,2021,2,10.0,241.0,판타지,15세이상관람가,2.62,3.0,2.81,4,10,1,252,3,2
커넥트,(주)이수C&E,2021,1,386.0,234.0,공포(호러),15세이상관람가,5.848333333333333,5.0,5.424166666666666,4,5,1,245,3,2
페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,(주)애니플러스,2020,10,149.0,200.0,애니메이션,15세이상관람가,9.5,6.105280898876405,7.802640449438202,3,0,1,211,2,2
마이 미씽 발렌타인,(주)트리플픽쳐스,2021,1,153.0,193.0,멜로/로맨스,12세이상관람가,8.63,6.0,7.315,4,3,0,204,3,2
라이브 하드,(주)드림팩트엔터테인먼트,2021,2,10.0,157.0,드라마,15세이상관람가,8.07,6.5,7.285,4,2,1,165,3,2
요요현상,영화배급협동조합 씨네소파,2021,1,27.0,128.0,다큐멘터리,전체관람가,9.33,6.67,8.0,4,8,2,135,3,2
사라센의 칼,(주)콘텐츠윙,2021,1,14.0,124.0,드라마,15세이상관람가,9.07,3.0,6.035,4,2,1,131,3,2
파티마의 기적,(주)디스테이션,2020,12,162.0,121.0,드라마,12세이상관람가,9.19,6.0,7.595,4,2,0,128,3,2
골든맨,예지림엔터테인먼트,2021,1,25.0,119.0,범죄,15세이상관람가,6.29,6.888888888888889,6.589444444444444,4,4,1,126,3,2
에이리,(주)미디어캐슬,2021,1,1.0,118.0,미스터리,15세이상관람가,8.67,6.0,7.335,4,9,1,125,3,2
"그리고, 살아간다",(주)미디어캐슬,2021,1,1.0,117.0,드라마,12세이상관람가,7.83,6.206746031746032,7.018373015873015,4,2,0,124,3,2
#아이엠히어,(주)넥스트엔터테인먼트월드(NEW),2021,1,432.0,114.0,멜로/로맨스,12세이상관람가,8.52,5.0,6.76,4,3,0,120,3,2
일론 머스크: 리얼 아이언맨,(주)마노엔터테인먼트,2021,2,1.0,101.0,다큐멘터리,전체관람가,5.29,6.614736842105264,5.952368421052632,4,8,2,106,3,2
운디네,M&M 인터내셔널,2020,12,42.0,100.0,드라마,12세이상관람가,8.38,8.0,8.190000000000001,4,2,0,105,3,2
게임의 법칙: 인간사냥,(주)제이앤씨미디어그룹,2021,1,20.0,93.0,스릴러,청소년관람불가,3.61,6.315,4.9625,4,7,3,98,3,2
극장판 바다 탐험대 옥토넛 : 대산호초 보호작전,와이드 릴리즈(주),2020,11,187.0,89.0,애니메이션,전체관람가,9.0,7.0,8.0,3,0,2,94,2,1
족벌 두 신문 이야기,(주)엣나인필름,2021,1,10.0,89.0,다큐멘터리,12세이상관람가,9.93,5.5,7.715,4,8,0,94,3,1
천사는 바이러스,주식회사 씨엠닉스,2021,1,44.0,88.0,드라마,15세이상관람가,8.76,6.206746031746032,7.483373015873015,4,2,1,93,3,1
"오늘, 우리 2",필름다빈,2021,1,14.0,83.0,드라마,12세이상관람가,8.11,5.5,6.805,4,2,0,88,3,1
내언니전지현과 나,호우주의보,2020,12,36.0,82.0,다큐멘터리,12세이상관람가,9.21,6.67,7.94,4,8,0,87,3,1
438일,(주)에스와이코마드,2021,1,40.0,74.0,드라마,15세이상관람가,8.04,6.206746031746032,7.123373015873016,4,2,1,79,3,1
8년을 뛰어넘은 신부,(주)미디어캐슬,2021,5,1.0,69.0,가족,전체관람가,9.36,7.2,8.28,1,11,2,73,0,1
디노소어 어드벤쳐,(주)제이앤씨미디어그룹,2021,1,26.0,65.0,어드벤처,15세이상관람가,10.0,6.076666666666667,8.038333333333334,4,15,1,68,3,1
더 넌 : 돌아온 저주,(주)라온컴퍼니플러스,2021,2,1.0,60.0,공포(호러),15세이상관람가,3.5,5.543333333333333,4.5216666666666665,4,5,1,62,3,1
우당탕탕 캠핑가족,(주)라온컴퍼니플러스,2021,2,1.0,60.0,코미디,12세이상관람가,0.0,5.185,2.5925,4,6,0,62,3,1
홀리데이 헬,(주)라온컴퍼니플러스,2021,2,1.0,60.0,공포(호러),15세이상관람가,0.0,5.543333333333333,2.7716666666666665,4,5,1,62,3,1
아이 엠 우먼,(주)팝엔터테인먼트,2021,1,494.0,59.0,드라마,15세이상관람가,9.43,6.0,7.715,4,2,1,60,3,1
음악,(주)미디어캐슬,2021,1,1.0,53.0,애니메이션,12세이상관람가,8.392941176470588,6.281282051282052,7.33711161387632,4,0,0,54,3,1
방황하는 네덜란드인,(주)케빈앤컴퍼니,2021,2,7.0,51.0,공연,12세이상관람가,0.0,6.211666666666666,3.105833333333333,4,14,0,52,3,1
장 미쉘 바스키아: 더 레이디언트 차일드,롯데컬처웍스(주)롯데엔터테인먼트,2020,12,18.0,51.0,다큐멘터리,12세이상관람가,9.0,6.079677419354839,7.5398387096774195,4,8,0,52,3,1
크루아상,하준사,2021,1,42.0,49.0,드라마,12세이상관람가,9.8,3.5,6.65,4,2,0,50,3,1
남매의 여름밤,그린나래미디어(주),2020,8,133.0,42.0,드라마,전체관람가,9.07,7.83,8.45,2,2,2,43,1,1
도굴,(주)씨제이이엔엠,2020,11,1635.0,38.0,범죄,12세이상관람가,0.0,5.0,2.5,3,4,0,38,2,1
라스트 특공대,(주)제이앤씨미디어그룹,2021,2,5.0,38.0,전쟁,15세이상관람가,8.67,5.0,6.835,4,12,1,38,3,1
미스터 존스,(주)디오시네마,2021,1,277.0,38.0,드라마,15세이상관람가,7.819929577464789,5.5,6.6599647887323945,4,2,1,38,3,1
겨울밤에,㈜인디스토리,2020,12,49.0,36.0,드라마,12세이상관람가,7.84,7.4,7.62,4,2,0,36,3,1
피아니스트의 마지막 인터뷰,판씨네마(주),2020,11,55.0,36.0,드라마,전체관람가,9.03,5.5,7.265,3,2,2,36,2,1
가나의 혼인잔치: 언약,"(재)CBS,주식회사 블루필름웍스",2020,11,116.0,35.0,다큐멘터리,전체관람가,9.54,4.0,6.77,3,8,2,35,2,1
찬실이는 복도 많지,찬란,2020,3,241.0,34.0,드라마,전체관람가,9.16,7.0,8.08,1,2,2,34,0,1
라스트 프론티어,(주)까멜리아이엔티,2021,1,20.0,30.0,전쟁,15세이상관람가,8.22,5.0,6.61,4,12,1,30,3,1
빛의 아버지: 파이널 판타지 XIV,(주)디스테이션,2021,1,98.0,28.0,드라마,전체관람가,9.23,6.0,7.615,4,2,2,28,3,1
완벽한 가족,(주)제이앤씨미디어그룹,2021,1,318.0,24.0,드라마,15세이상관람가,7.26,6.0,6.63,4,2,1,24,3,1
귀여운 남자,(주)드림팩트엔터테인먼트,2021,1,41.0,21.0,코미디,15세이상관람가,5.38,6.175000000000001,5.7775,4,6,1,21,3,1
데스 오브 미,(주)엔케이컨텐츠,2021,2,1.0,20.0,공포(호러),청소년관람불가,3.67,3.0,3.335,4,5,3,20,3,1
페이블,쇼치쿠,2021,1,1.0,20.0,코미디,15세이상관람가,6.63,6.175000000000001,6.4025,4,6,1,20,3,1
걸,(주)리틀빅픽쳐스,2021,1,239.0,19.0,드라마,15세이상관람가,7.819929577464789,6.33,7.0749647887323945,4,2,1,19,3,1
나의 작은 동무,(주)라이크콘텐츠,2021,1,40.0,16.0,드라마,12세이상관람가,8.83,6.33,7.58,4,2,0,16,3,1
럭키 몬스터,(주)영화사 그램,2020,12,101.0,16.0,드라마,청소년관람불가,7.92,5.5,6.71,4,2,3,16,3,1
빅풋 주니어2: 패밀리가 떴다,(주)이수C&E,2021,1,308.0,15.0,애니메이션,전체관람가,9.0,6.0,7.5,4,0,2,14,3,1
뮤직 앤 리얼리티,"(주)미로스페이스,(주)스튜디오 보난자",2020,12,38.0,13.0,드라마,12세이상관람가,8.8,5.0,6.9,4,2,0,12,3,1
금의위 3인의 무사,(유)조이앤시네마,2021,1,20.0,12.0,액션,15세이상관람가,0.0,5.9,2.95,4,1,1,11,3,1
호프,(주)이놀미디어,2020,12,171.0,12.0,드라마,12세이상관람가,7.553602484472049,6.5,7.026801242236024,4,2,0,11,3,1
가을의 마티네,찬란,2020,12,19.0,11.0,멜로/로맨스,12세이상관람가,8.9,5.33,7.115,4,3,0,10,3,1
언플랜드,(주)영화사오원,2020,12,281.0,10.0,드라마,15세이상관람가,9.62,3.5,6.56,4,2,1,9,3,1
그리고 우린 춤을 추었다,(주)엣나인필름,2020,11,79.0,7.0,드라마,15세이상관람가,8.26,6.8,7.529999999999999,3,2,1,6,2,1
레컨,주식회사 풍경소리,2021,2,9.0,7.0,전쟁,15세이상관람가,4.58,5.0,4.79,4,12,1,6,3,1
로맨틱 코미디,(주)영화사 안다미로,2020,12,28.0,5.0,다큐멘터리,12세이상관람가,7.2,6.0,6.6,4,8,0,4,3,1
삼진그룹 영어토익반,롯데컬처웍스(주)롯데엔터테인먼트,2020,10,1615.0,4.0,드라마,12세이상관람가,9.01,7.0,8.004999999999999,3,2,0,3,2,1
안티고네,"그린나래미디어(주),(주)키다리이엔티",2020,11,130.0,4.0,드라마,15세이상관람가,8.57,6.5,7.535,3,2,1,3,2,1
잔칫날,(주)트리플픽쳐스,2020,12,240.0,3.0,드라마,12세이상관람가,9.36,6.0,7.68,4,2,0,2,3,1
도망친 여자,"(주)영화제작전원사 ,(주)콘텐츠판다",2020,9,143.0,2.0,드라마,청소년관람불가,8.07,7.4,7.735,3,2,3,1,2,1
뱅가드,(주)디스테이션,2020,12,265.0,2.0,액션,12세이상관람가,3.41,3.67,3.54,4,1,0,1,3,1
썸머 85,찬란,2020,12,126.0,2.0,멜로/로맨스,15세이상관람가,8.59,7.25,7.92,4,3,1,1,3,1
더 허니문,주식회사 루믹스미디어,2021,2,1.0,1.0,SF,청소년관람불가,7.0,5.956666666666667,6.4783333333333335,4,13,3,0,3,1
무사: 400 vs 1,(주)콘텐트마인,2021,2,1.0,1.0,액션,15세이상관람가,5.14,5.566,5.353,4,1,1,0,3,1
어쌔신 게임,(주)퍼스트런,2021,2,1.0,1.0,범죄,12세이상관람가,1.33,6.583333333333333,3.9566666666666666,4,4,0,0,3,1
미나리,판씨네마(주),2021,3,1162.0,841966.0,드라마,12세이상관람가,8.32,7.57,7.945,1,2,0,2070,0,5
극장판 귀멸의 칼날: 무한열차편,워터홀컴퍼니(주),2021,1,380.0,620173.0,애니메이션,15세이상관람가,8.392941176470588,6.0,7.196470588235294,4,0,1,2052,3,5
고질라 VS. 콩,워너브러더스 코리아(주),2021,3,1295.0,400883.0,액션,12세이상관람가,8.89,5.75,7.32,1,1,0,2030,0,5
라야와 마지막 드래곤,월트디즈니컴퍼니코리아 유한책임회사,2021,3,1056.0,303508.0,애니메이션,전체관람가,9.44,6.0,7.72,1,0,2,2008,0,5
소울,월트디즈니컴퍼니코리아 유한책임회사,2021,1,2018.0,157646.0,애니메이션,전체관람가,9.32,8.5,8.91,4,0,2,1964,3,5
미션 파서블,(주)메리크리스마스,2021,2,930.0,113421.0,코미디,15세이상관람가,8.41,4.5,6.455,4,6,1,1938,3,5
더 박스,(주)씨네필운,2021,3,372.0,93198.0,드라마,12세이상관람가,5.39,5.33,5.359999999999999,1,2,0,1917,0,5
카오스 워킹,롯데컬처웍스(주)롯데엔터테인먼트,2021,2,780.0,47051.0,어드벤처,15세이상관람가,7.36,5.0,6.18,4,15,1,1861,3,5
최면,(주)스마일이엔티,2021,3,506.0,44118.0,공포(호러),15세이상관람가,5.568888888888889,6.33,5.9494444444444445,1,5,1,1843,0,5
톰과 제리,워너브러더스 코리아(주),2021,2,918.0,44008.0,애니메이션,전체관람가,8.03,7.0,7.515,4,0,2,1842,3,5
모리타니안,(주)디스테이션,2021,3,586.0,40506.0,스릴러,15세이상관람가,8.63,6.67,7.65,1,7,1,1827,0,5
리스타트,(주)넥스트엔터테인먼트월드(NEW),2021,3,529.0,39371.0,액션,15세이상관람가,6.574032258064515,6.0,6.287016129032258,1,1,1,1822,0,5
자산어보,메가박스중앙(주)플러스엠,2021,3,1250.0,37650.0,사극,12세이상관람가,9.02,7.0,8.01,1,18,0,1813,0,5
브레이브 언더 파이어,(주)박수엔터테인먼트,2021,3,203.0,14922.0,액션,12세이상관람가,7.5,5.5,6.5,1,1,0,1653,0,4
몬테크리스토: 더 뮤지컬 라이브,"CGV ICECON,씨제이포디플렉스 주식회사",2021,3,90.0,14528.0,공연,12세이상관람가,9.38,5.52125,7.450625,1,14,0,1647,0,4
웨이 다운,(주)누리픽쳐스,2021,3,309.0,13743.0,액션,15세이상관람가,9.0,5.0,7.0,1,1,1,1637,0,4
아이 씨 유,(주)홈초이스,2021,3,113.0,12810.0,스릴러,15세이상관람가,6.3100000000000005,5.5,5.905,1,7,1,1621,0,4
고백,(주)리틀빅픽쳐스,2021,2,255.0,11604.0,드라마,15세이상관람가,8.0,8.0,8.0,4,2,1,1602,3,4
페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,(주)애니플러스,2020,10,149.0,10483.0,애니메이션,15세이상관람가,9.5,6.105280898876405,7.802640449438202,3,0,1,1575,2,4
정말 먼 곳,그린나래미디어(주),2021,3,204.0,8662.0,드라마,12세이상관람가,8.79,7.2,7.994999999999999,1,2,0,1534,0,4
그녀가 사라졌다,(주)스튜디오디에이치엘,2021,3,143.0,7042.0,멜로/로맨스,12세이상관람가,8.4,5.5,6.95,1,3,0,1462,0,4
스파이의 아내,M&M 인터내셔널,2021,3,120.0,7035.0,드라마,12세이상관람가,8.68,8.0,8.34,1,2,0,1461,0,4
암모나이트,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021,3,207.0,5820.0,드라마,청소년관람불가,8.9,6.67,7.785,1,2,3,1420,0,4
파이터,㈜인디스토리,2021,3,74.0,5796.0,드라마,12세이상관람가,8.86,4.0,6.43,1,2,0,1419,0,4
퍼펙트 케어,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",2021,2,308.0,5761.0,범죄,15세이상관람가,9.06,6.0,7.53,4,4,1,1417,3,4
더 레이서,(주)다자인소프트,2021,2,146.0,5647.0,드라마,15세이상관람가,8.2,6.5,7.35,4,2,1,1414,3,4
아무도 없는 곳,(주)엣나인필름,2021,3,374.0,5077.0,드라마,15세이상관람가,7.75,5.67,6.71,1,2,1,1383,0,4
워 위드 그랜파,"(주)키다리이엔티,(주)태양미디어그룹",2021,2,322.0,4835.0,코미디,12세이상관람가,7.88,5.5,6.69,4,6,0,1370,3,4
라스트 레터,(주)스튜디오 산타클로스엔터테인먼트,2021,2,160.0,4528.0,멜로/로맨스,전체관람가,8.3,6.17,7.235,4,3,2,1348,3,4
아르코 라이브 뮤지컬 호프,(주)아이디어랩,2021,3,10.0,4509.0,공연,12세이상관람가,8.502307692307692,5.52125,7.011778846153846,1,14,0,1345,0,4
내일도 우린 사랑하고 있을까,(주)디스테이션,2021,3,129.0,4451.0,드라마,12세이상관람가,7.57,4.0,5.785,1,2,0,1339,0,4
와일드 마운틴 타임,"(주)영화사 빅,(주)태양미디어그룹",2021,3,272.0,4072.0,멜로/로맨스,12세이상관람가,8.03,5.67,6.85,1,3,0,1309,0,4
"조제, 호랑이 그리고 물고기들",(주)팝엔터테인먼트,2021,3,388.0,4001.0,애니메이션,12세이상관람가,7.77,7.0,7.385,1,0,0,1302,0,4
쁘떼뜨,예지림엔터테인먼트,2021,3,105.0,3915.0,멜로/로맨스,12세이상관람가,9.78,6.0,7.89,1,3,0,1297,0,4
해길랍,오드,2021,3,223.0,3844.0,멜로/로맨스,15세이상관람가,7.88,6.0,6.94,1,3,1,1291,0,4
커피 오어 티,(주)넥스트엔터테인먼트월드(NEW),2021,3,119.0,3766.0,코미디,12세이상관람가,5.83,4.5,5.165,1,6,0,1278,0,4
랜드,유니버설픽쳐스인터내셔널 코리아(유),2021,3,25.0,3722.0,드라마,12세이상관람가,9.13,6.0,7.565,1,2,0,1275,0,4
국카스텐 콘서트 실황 : 해프닝,CGV ICECON,2021,3,54.0,3485.0,공연,전체관람가,8.502307692307692,5.52125,7.011778846153846,1,14,2,1251,0,4
유어 아이즈 텔,"(주)리틀빅픽쳐스,주식회사 더쿱",2021,3,103.0,3370.0,멜로/로맨스,15세이상관람가,9.54,5.0,7.27,1,3,1,1242,0,4
아수라도,(주)제이앤씨미디어그룹,2021,3,101.0,3166.0,액션,청소년관람불가,9.6,2.0,5.8,1,1,3,1228,0,4
프라미싱 영 우먼,유니버설픽쳐스인터내셔널 코리아(유),2021,2,70.0,2905.0,범죄,15세이상관람가,7.83,7.0,7.415,4,4,1,1205,3,4
라라의 신비한 모험,와이드 릴리즈(주),2021,3,165.0,2808.0,애니메이션,전체관람가,8.33,6.409166666666667,7.369583333333333,1,0,2,1196,0,4
부활: 그 증거,(주)영화사 진진,2020,10,111.0,2715.0,다큐멘터리,전체관람가,9.82,4.0,6.91,3,8,2,1185,2,4
잃어버린 얼굴 1895,(재)서울예술단,2021,2,63.0,2613.0,뮤지컬,전체관람가,7.08,4.0,5.54,4,17,2,1177,3,4
트웬티 해커,(주)도어이앤엠,2021,3,74.0,2301.0,액션,15세이상관람가,5.96,5.517818181818182,5.738909090909091,1,1,1,1132,0,4
어니스트 씨프,(주)올스타엔터테인먼트,2021,2,554.0,2278.0,액션,15세이상관람가,8.65,4.0,6.325,4,1,1,1127,3,4
극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 완더링; 아가트람,(주)애니플러스,2021,2,91.0,2181.0,애니메이션,15세이상관람가,6.08,5.838928571428572,5.959464285714287,4,0,1,1115,3,4
디 아더 사이드,찬란,2021,3,20.0,2112.0,공포(호러),12세이상관람가,5.568888888888889,5.0,5.2844444444444445,1,5,0,1104,0,4
세자매,(주)리틀빅픽쳐스,2021,1,569.0,2094.0,드라마,15세이상관람가,8.95,5.0,6.975,4,2,1,1100,3,4
아이카,(주)디오시네마,2021,3,38.0,2090.0,드라마,12세이상관람가,9.22,7.0,8.11,1,2,0,1099,0,4
더블패티,"케이티하이텔(주),판씨네마(주)",2021,2,265.0,2043.0,드라마,15세이상관람가,9.14,5.0,7.07,4,2,1,1093,3,4
북스마트,(주)콘텐츠판다,2021,1,163.0,1951.0,코미디,15세이상관람가,8.49,6.5,7.495,4,6,1,1078,3,4
원초적 본능,(주)제이앤씨미디어그룹,2021,3,32.0,1927.0,미스터리,청소년관람불가,6.27,7.13,6.699999999999999,1,9,3,1077,0,4
타오르는 여인의 초상,"그린나래미디어(주),(주)홈초이스",2020,1,120.0,1914.0,드라마,15세이상관람가,9.15,9.5,9.325,4,2,1,1073,3,4
반딧불이 딘딘과 용감한 곤충 탐험대,(주)씨네필운,2021,3,99.0,1849.0,애니메이션,전체관람가,7.09,4.5,5.795,1,0,2,1063,0,4
빛과 철,찬란,2021,2,161.0,1801.0,드라마,12세이상관람가,8.37,6.5,7.435,4,2,0,1053,3,4
조제,워너브러더스 코리아(주),2020,12,1179.0,1746.0,멜로/로맨스,15세이상관람가,8.2,5.6,6.9,4,3,1,1042,3,3
포제서,(주)제이앤씨미디어그룹,2021,3,80.0,1654.0,스릴러,청소년관람불가,7.4,6.5,6.95,1,7,3,1024,0,3
새해전야,(주)에이스메이커무비웍스,2021,2,906.0,1633.0,멜로/로맨스,12세이상관람가,8.38,5.5,6.94,4,3,0,1018,3,3
리틀드래곤 코코넛2: 정글대탐험,(주)팝엔터테인먼트,2021,2,147.0,1621.0,애니메이션,전체관람가,6.5,6.0,6.25,4,0,2,1017,3,3
해변의 에트랑제,(주)팝엔터테인먼트,2021,2,92.0,1606.0,애니메이션,15세이상관람가,9.17,5.838928571428572,7.5044642857142865,4,0,1,1015,3,3
